mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__alpha,param_classifier__norm,param_tfidf__max_features,param_tfidf__min_df,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.3619365692138672,0.010117132152771352,0.28582072257995605,0.02532206621252236,0.5,True,10000,1,"{'classifier__alpha': 0.5, 'classifier__norm': True, 'tfidf__max_features': 10000, 'tfidf__min_df': 1}",0.6224401280209281,0.6296637115731901,0.6241479083191738,0.6254172493044307,0.003082581141053428,1
0.9456446170806885,0.6303687877646663,0.2777831554412842,0.017437042987690096,0.5,True,10000,2,"{'classifier__alpha': 0.5, 'classifier__norm': True, 'tfidf__max_features': 10000, 'tfidf__min_df': 2}",0.6227604668515773,0.6297409153557328,0.6228257302287766,0.6251090374786955,0.003275340626351331,2
1.4839664300282795,0.08979260071224791,0.28442955017089844,0.014214185159340937,0.5,True,5000,1,"{'classifier__alpha': 0.5, 'classifier__norm': True, 'tfidf__max_features': 5000, 'tfidf__min_df': 1}",0.6204141794180129,0.6124918794318214,0.6161973212092978,0.616367793353044,0.0032365109641554523,3
1.4925905863444011,0.04643522511130984,0.3051927089691162,0.012363902745843923,0.5,True,5000,2,"{'classifier__alpha': 0.5, 'classifier__norm': True, 'tfidf__max_features': 5000, 'tfidf__min_df': 2}",0.6202440905820933,0.6101983335541171,0.6144228324103539,0.6149550855155215,0.004118396014004603,4
1.5113441149393718,0.06565228722700481,0.3054501215616862,0.011044362451358751,0.1,True,10000,1,"{'classifier__alpha': 0.1, 'classifier__norm': True, 'tfidf__max_features': 10000, 'tfidf__min_df': 1}",0.608634396097883,0.6117767671906652,0.6057713203985119,0.6087274945623533,0.002452597029872782,5
1.5007985432942708,0.02762415138640173,0.3301048278808594,0.022232224194670462,0.1,True,10000,2,"{'classifier__alpha': 0.1, 'classifier__norm': True, 'tfidf__max_features': 10000, 'tfidf__min_df': 2}",0.6092215670719402,0.6082889907022607,0.6052483206226932,0.6075862927989647,0.0016964689002132189,6
1.04552427927653,0.564700241563667,0.2984480857849121,0.002804011713653383,0.1,True,5000,1,"{'classifier__alpha': 0.1, 'classifier__norm': True, 'tfidf__max_features': 5000, 'tfidf__min_df': 1}",0.5994502201751353,0.6005403470144675,0.6034389132100405,0.6011431601332143,0.0016832420649400474,7
1.4675697485605876,0.03836245543159573,0.29183467229207355,0.006487956758061012,0.1,True,5000,2,"{'classifier__alpha': 0.1, 'classifier__norm': True, 'tfidf__max_features': 5000, 'tfidf__min_df': 2}",0.5999365043734812,0.6002289072418493,0.6020424131813721,0.6007359415989009,0.0009314955201935923,8
0.9765145778656006,0.6265432080100223,0.2926218509674072,0.013748276119691196,0.05,True,10000,1,"{'classifier__alpha': 0.05, 'classifier__norm': True, 'tfidf__max_features': 10000, 'tfidf__min_df': 1}",0.597811426231782,0.6001619341582777,0.5983325842122164,0.5987686482007587,0.0010079139281067495,9
1.3756521542867024,0.02185953318284236,0.28660106658935547,0.015323549557011738,0.05,True,10000,2,"{'classifier__alpha': 0.05, 'classifier__norm': True, 'tfidf__max_features': 10000, 'tfidf__min_df': 2}",0.5989856209603808,0.5991898546178338,0.5956475360622819,0.5979410038801655,0.0016238685949423117,10
1.4041910966237385,0.039690684117787464,0.2828299204508464,0.005761799924100119,0.05,True,5000,1,"{'classifier__alpha': 0.05, 'classifier__norm': True, 'tfidf__max_features': 5000, 'tfidf__min_df': 1}",0.5929346554777214,0.5940762139841816,0.5966626140728778,0.594557827844927,0.0015595689051671972,11
1.362821340560913,0.06566545877062237,0.27127806345621747,0.0024362488373026406,0.05,True,5000,2,"{'classifier__alpha': 0.05, 'classifier__norm': True, 'tfidf__max_features': 5000, 'tfidf__min_df': 2}",0.5924136765481594,0.5938365349880189,0.594374014820135,0.5935414087854377,0.000827065552311533,12
1.373337984085083,0.054037538881598825,0.28587841987609863,0.008208385160290673,0.01,True,10000,1,"{'classifier__alpha': 0.01, 'classifier__norm': True, 'tfidf__max_features': 10000, 'tfidf__min_df': 1}",0.581838882794917,0.580743680862703,0.5815348913631935,0.5813724850069378,0.0004616266070433298,13
1.4770344098409016,0.1208947068891257,0.29460398356119794,0.009373761520890358,0.01,True,5000,1,"{'classifier__alpha': 0.01, 'classifier__norm': True, 'tfidf__max_features': 5000, 'tfidf__min_df': 1}",0.5811626479727487,0.5793388411425154,0.5826422406316611,0.5810479099156418,0.0013510454378082043,14
1.4364641507466633,0.050002165315909765,0.2942405541737874,0.00813339030879764,0.01,True,5000,2,"{'classifier__alpha': 0.01, 'classifier__norm': True, 'tfidf__max_features': 5000, 'tfidf__min_df': 2}",0.5819412529051865,0.5786157311553263,0.580997940969266,0.5805183083432596,0.0013993592150565992,15
1.3955999215443928,0.05021889969600418,0.2985190550486247,0.026531189957419155,0.01,True,10000,2,"{'classifier__alpha': 0.01, 'classifier__norm': True, 'tfidf__max_features': 10000, 'tfidf__min_df': 2}",0.5829908768873627,0.5785559940573207,0.5792214032792491,0.5802560914079775,0.001952772571132132,16
1.5610308647155762,0.05944452917720903,0.29085342089335126,0.011507545853834688,0.01,False,10000,1,"{'classifier__alpha': 0.01, 'classifier__norm': False, 'tfidf__max_features': 10000, 'tfidf__min_df': 1}",0.5807486691188207,0.5745390945967032,0.5802115573310466,0.5784997736821902,0.0028091939984987444,17
1.3829166094462078,0.04861804296801258,0.3092770576477051,0.03056070647349225,0.01,False,10000,2,"{'classifier__alpha': 0.01, 'classifier__norm': False, 'tfidf__max_features': 10000, 'tfidf__min_df': 2}",0.579540493189242,0.5738145722510203,0.5794402740760584,0.5775984465054402,0.002675915948805594,18
1.5045867760976155,0.021501913768215752,0.30188624064127606,0.0021883402795474776,0.05,False,10000,1,"{'classifier__alpha': 0.05, 'classifier__norm': False, 'tfidf__max_features': 10000, 'tfidf__min_df': 1}",0.5771524968717111,0.5681653017260603,0.5762994317485798,0.5738724101154503,0.004050534504009811,19
1.5712411403656006,0.050422939143822954,0.3084421952565511,0.008786601026185954,0.05,False,10000,2,"{'classifier__alpha': 0.05, 'classifier__norm': False, 'tfidf__max_features': 10000, 'tfidf__min_df': 2}",0.5752751802024051,0.5680728263359035,0.5758008269664493,0.5730496111682526,0.00352565517133698,20
