model,accuracy,precision_weighted,recall_weighted,f1_weighted
LinearSVC,0.8824444444444445,0.892682569926141,0.8824444444444445,0.8872388092914874
MLP,0.8988333333333334,0.878885547422712,0.8988333333333334,0.8847516785492429
ComplementNB,0.8633888888888889,0.881323619406515,0.8633888888888889,0.8684671542582266
GradientBoosting,0.8811111111111111,0.8539705798011182,0.8811111111111111,0.856589638721156
LogisticRegression,0.8272777777777778,0.8947131800420739,0.8272777777777778,0.8543349436215149
VADER,0.7860555555555555,0.8267169189447134,0.7860555555555555,0.8051175208971056
TextBlob,0.7414444444444445,0.827266763592713,0.7414444444444445,0.7717744855980642
SentiWordNet,0.7394444444444445,0.8054673311129007,0.7394444444444445,0.7649333210429603
